Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:08 AM  1000    695042   21.00    2.00    0.00    0.00   23.00     4   1376.00      0.00 2627872  266852   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:09 AM  1000    695042   22.00    3.00    0.00    0.00   25.00     8   1777.00      0.00 2627984  270520   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:10 AM  1000    695042   19.00    2.00    0.00    0.00   21.00    12   2161.00      0.00 2628084  275036   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:11 AM  1000    695042   25.00    2.00    0.00    0.00   27.00     8   1713.00      0.00 2628180  277608   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:12 AM  1000    695042   20.00    2.00    0.00    0.00   22.00     2   1247.00      0.00 2628276  278412   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:13 AM  1000    695042   18.00    3.00    0.00    0.00   21.00    10   1332.00      0.00 2628360  279364   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:14 AM  1000    695042   18.00    2.00    0.00    0.00   20.00     6   1377.00      0.00 2628440  280868   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:15 AM  1000    695042   16.00    2.00    0.00    0.00   18.00     6   1347.00      0.00 2628512  281596   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:16 AM  1000    695042   17.00    3.00    0.00    0.00   20.00     6   1396.00      0.00 2628576  282756   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:17 AM  1000    695042   16.00    3.00    0.00    0.00   19.00    10   1275.00      0.00 2629088  283284   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:18 AM  1000    695042   15.00    3.00    0.00    0.00   18.00     0   1222.00      0.00 2629140  283544   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:19 AM  1000    695042   17.00    2.00    0.00    0.00   19.00     2   1204.00      0.00 2629188  283716   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:20 AM  1000    695042   15.00    2.00    0.00    0.00   17.00     2   1260.00      0.00 2629228  283800   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:34:21 AM  1000    695042   15.00    3.00    0.00    0.00   18.00     8   1223.00      0.00 2629268  283892   0.87  fastlio_mapping

