Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:27 PM  1000     22602   11.00    1.00    0.00    0.00   12.00     0    846.00      0.00 2626376  262860   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:28 PM  1000     22602   13.00    2.00    0.00    0.00   15.00     2   1012.00      0.00 2626408  263688   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:29 PM  1000     22602   13.00    2.00    0.00    0.00   15.00    10    831.00      0.00 2626436  264068   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:30 PM  1000     22602   12.00    2.00    0.00    0.00   14.00     6    923.00      0.00 2626468  264828   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:31 PM  1000     22602   14.00    1.00    0.00    0.00   15.00    14    828.00      0.00 2626500  264952   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:32 PM  1000     22602   12.00    2.00    0.00    0.00   14.00     4    803.00      0.00 2626532  265196   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:33 PM  1000     22602   14.00    2.00    0.00    0.00   16.00     2    910.00      0.00 2626564  265652   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:34 PM  1000     22602   12.00    3.00    0.00    0.00   15.00     6    844.00      0.00 2626592  265712   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:35 PM  1000     22602   12.00    2.00    0.00    0.00   14.00     6    951.00      0.00 2626620  266152   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:36 PM  1000     22602   12.00    2.00    0.00    0.00   14.00     8    866.00      0.00 2626644  266248   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:37 PM  1000     22602   11.00    2.00    0.00    0.00   13.00    10    856.00      0.00 2626668  266488   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:38 PM  1000     22602   11.00    3.00    0.00    0.00   14.00     0    899.00      0.00 2626848  266816   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:39 PM  1000     22602   10.00    1.00    0.00    0.00   11.00     0    866.00      0.00 2626876  266948   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:40 PM  1000     22602   12.00    2.00    0.00    0.00   14.00    10    950.00      0.00 2626904  267472   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:41 PM  1000     22602   11.00    3.00    0.00    0.00   14.00     4    989.00      0.00 2626932  267768   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:42 PM  1000     22602   12.00    3.00    0.00    0.00   15.00    10   1046.00      0.00 2626964  268652   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:43 PM  1000     22602   12.00    2.00    0.00    0.00   14.00    12    913.00      0.00 2626992  268904   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:44 PM  1000     22602   12.00    2.00    0.00    0.00   14.00     6    945.00      0.00 2627020  269072   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:45 PM  1000     22602   11.00    2.00    0.00    0.00   13.00     4    945.00      0.00 2627052  269340   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:46 PM  1000     22602   13.00    1.00    0.00    0.00   14.00     6    993.00      0.00 2627080  269780   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:47 PM  1000     22602   10.00    3.00    0.00    0.00   13.00     6   1121.00      0.00 2627108  270684   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:48 PM  1000     22602   10.00    2.00    0.00    0.00   12.00    12   1067.00      0.00 2627136  271508   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:49 PM  1000     22602   10.00    2.00    0.00    0.00   12.00     6   1010.00      0.00 2627168  272036   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:50 PM  1000     22602   11.00    1.00    0.00    0.00   12.00     6    970.00      0.00 2627196  272092   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:51 PM  1000     22602   11.00    2.00    0.00    0.00   13.00     6    997.00      0.00 2627224  272284   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
