Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:30 AM  1000    856637   16.00    1.00    0.00    0.00   17.00     2   1627.00      0.00 2636176  426244   1.31  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:31 AM  1000    856637   19.00    1.00    0.00    0.00   20.00     4   1187.00      0.00 2636236  426476   1.31  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:32 AM  1000    856637   19.00    1.00    0.00    0.00   20.00     6   1620.00      0.00 2636300  428048   1.31  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:33 AM  1000    856637   14.00    1.00    0.00    0.00   15.00     4   1507.00      0.00 2636768  429088   1.32  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:34 AM  1000    856637   20.00    1.00    0.00    0.00   21.00     4   1565.00      0.00 2636836  430712   1.32  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:35 AM  1000    856637   18.00    1.00    0.00    0.00   19.00    14   1258.00      0.00 2636904  430940   1.32  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:36 AM  1000    856637   16.00    1.00    0.00    0.00   17.00    10   1273.00      0.00 2636968  431192   1.32  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:37 AM  1000    856637   18.00    1.00    0.00    0.00   19.00    10   1286.00      0.00 2637028  431312   1.32  fastlio_mapping

